MP:0000001	mammalian phenotype	哺乳類の表現型
MP:0000272	abnormal aorta morphology	大動脈の形態異常
MP:0000273	overriding aortic valve	大動脈騎乗
MP:0000274	enlarged heart	心臓肥大
MP:0000275	heart hyperplasia	心臓肥厚
MP:0000276	heart right ventricle hypertrophy	右心室肥大
MP:0000277	abnormal heart shape	心臓の形状異常
MP:0000278	abnormal myocardial fiber morphology	心筋線維の形態異常
MP:0000279	ventricular hypoplasia	心室の形成不全
MP:0000280	thin ventricular wall	心室壁の菲薄化
MP:0000281	abnormal interventricular septum morphology	心室中隔の形態異常
MP:0000282	abnormal interatrial septum morphology	心房中隔の形態異常
MP:0000284	double outlet right ventricle	両大血管右室起始症
MP:0000285	abnormal heart valve morphology	心臓弁の形態異常
MP:0000286	abnormal mitral valve morphology	僧帽弁の形態異常
MP:0000287	heart valve hypoplasia	心臓弁の形成不全
MP:0000288	abnormal pericardium morphology	心膜の形態異常
MP:0000291	enlarged pericardium	心膜拡張
MP:0000292	distended pericardium	心膜膨張
MP:0000293	absent myocardial trabeculae	心筋肉柱の欠如
MP:0000295	trabecula carnea hypoplasia	心室肉柱の分化不全
MP:0000296	absent trabeculae carneae	心室肉柱の欠如
MP:0000297	abnormal atrioventricular cushion morphology	心内膜床形態異常
MP:0000298	absent atrioventricular cushions	心内膜床の欠如
MP:0000299	failure of atrioventricular cushion closure	心内膜床の閉鎖不全
MP:0000300	thin atrioventricular cushion	薄い心内膜床
MP:0000301	decreased atrioventricular cushion size	房室間隔のサイズ減少
MP:0000304	abnormal cardiac stroke volume	心拍出量の異常
MP:0000306	obsolete abnormal pulse	OBSOLETE
MP:0000307	obsolete abnormal heart sounds	OBSOLETE
MP:0000313	abnormal cell death	細胞死の異常
MP:0000314	schistocytosis	分裂赤血球症
MP:0000315	hemoglobinuria	血色素尿
MP:0000316	cellular necrosis	細胞壊死
MP:0000317	obsolete abnormal cell number	OBSOLETE
MP:0000318	obsolete increased cell number	OBSOLETE
MP:0000319	obsolete increased activated B cell number	OBSOLETE
MP:0000321	increased bone marrow cell number	骨髄細胞数の増加
MP:0000322	increased granulocyte number	顆粒球数の増加
MP:0000324	increased mast cell number	肥満細胞数の増加
MP:0000327	hemosiderinuria	ヘモシデリン尿症
MP:0000328	increased enterocyte cell number	腸細胞数の増加
MP:0000329	obsolete decreased cell number	OBSOLETE
MP:0000330	obsolete decreased activated B cell number	OBSOLETE
MP:0000332	hemoglobinemia	ヘモグロビン血症
MP:0000333	decreased bone marrow cell number	骨髄細胞数の減少
MP:0000334	decreased granulocyte number	顆粒球数の減少
MP:0000336	decreased mast cell number	肥満細胞数の減少
MP:0000339	decreased enterocyte cell number	腸細胞数の減少
MP:0000340	obsolete absence of cell	OBSOLETE
MP:0000341	abnormal bile color	胆汁色異常
MP:0000343	abnormal response to cardiac infarction	心筋梗塞への応答の変化
MP:0000344	absent Cajal-Retzius cell	カハール・レチウス細胞欠如
MP:0000346	broad head	広い頭部
MP:0000348	abnormal aerobic fitness	好気的代謝異常
MP:0000350	abnormal cell proliferation	細胞増殖の異常
MP:0000351	increased cell proliferation	細胞増殖率の増加
MP:0000352	decreased cell proliferation	細胞増殖率の減少
MP:0000353	obsolete Abnormal Cell Size	OBSOLETE
MP:0000354	obsolete Increased Cell Size	OBSOLETE
MP:0000355	obsolete Increased Purkinje Cell Size	OBSOLETE
MP:0000356	obsolete Decreased Cell Size	OBSOLETE
MP:0000357	obsolete Decreased Purkinje Cell Size	OBSOLETE
MP:0000358	abnormal cell morphology	細胞質/形態の異常
MP:0000359	abnormal mast cell morphology	肥満細胞の形態異常
MP:0000360	obsolete absent metachromatic granules	OBSOLETE
MP:0000361	decreased mast cell protease storage	肥満細胞のプロテアーゼ貯蔵量の減少
MP:0000362	decreased mast cell histamine storage	肥満細胞のヒスタミン貯蔵量の減少
MP:0000363	obsolete Abnormal Cell Behavior	OBSOLETE
MP:0000364	abnormal vascular regression	血管退行の異常
MP:0000365	obsolete Abnormal Hematopoietic/Hemopoietic/ Hematogenic/Hemogenic/Sanguifacient Cell Behavior	OBSOLETE
MP:0000366	obsolete Impaired Proliferative Response of Hematopoietic Cells to Mitogens	OBSOLETE
MP:0000367	abnormal coat/ hair morphology	外皮／毛の形態異常
MP:0000370	head blaze	白い縞模様のある頭部
MP:0000371	diluted coat color	薄い毛色
MP:0000372	irregular coat pigmentation	不規則な毛の色素沈着
MP:0000373	belly spot	腹部の白班
MP:0000374	obsolete pink fur hue	OBSOLETE
MP:0000376	folliculitis	毛包炎
MP:0000377	abnormal hair follicle morphology	毛包の形態異常
MP:0000378	absent hair follicles	毛包欠如
MP:0000379	decreased hair follicle number	毛包数の減少
MP:0000380	small hair follicles	毛包の矮小化
MP:0000381	enlarged hair follicles	毛包の巨大化
MP:0000382	underdeveloped hair follicles	毛包の分化停止/遅延
MP:0000383	abnormal hair follicle orientation	毛包の配向異常
MP:0000384	distorted hair follicle pattern	毛包パターンの歪み
MP:0000385	distended hair follicles	毛包拡張
MP:0000386	obsolete abnormal hair follicle root sheath	OBSOLETE
MP:0000387	disorganized inner root sheath cells	乱れた内毛根鞘細胞
MP:0000388	absent hair follicle inner root sheath	毛包内根鞘の欠如
MP:0000389	disorganized outer root sheath cells	外毛根鞘細胞の乱れ
MP:0000390	disorganized matrix sheath cells	毛母細胞の乱れ
MP:0000391	premature hair follicle generation	毛包の早期発生
MP:0000392	accelerated hair follicle regression	毛包退行促進
MP:0000393	persistent hair follicle morphogenesis	毛包形成の持続性
MP:0000394	absent hair follicle melanin granules	毛包のメラニン顆粒欠如
MP:0000395	obsolete abnormal hair types	OBSOLETE
MP:0000396	increased curvature of hairs	毛の屈曲増大
MP:0000397	abnormal guard hair morphology	粗毛の異常
MP:0000398	splitting of guard hairs	粗毛の分裂
MP:0000399	increased curvature of guard hairs	粗毛の屈曲増大
MP:0000400	abnormal awl hair morphology	awl毛の異常
MP:0000401	increased curvature of awl hairs	awl毛の屈曲増大
MP:0000402	abnormal zigzag hair morphology	ジグザグ毛の異常
MP:0000403	increased curvature of zigzag hairs	ジグザグ毛の屈曲増大
MP:0000404	decreased curvature of zigzag hairs	ジグザグ毛の屈曲減少
MP:0000405	abnormal auchene hair morphology	auchene毛の異常
MP:0000406	increased curvature of auchene hairs	auchene毛の屈曲増大
MP:0000407	abnormal duvet hair morphology	duvet毛の異常
MP:0000408	absent duvet hair	duvet毛の欠如
MP:0000410	waved hair	うねった毛
MP:0000411	shiny fur	つやのある毛皮
MP:0000412	excessive hair	過剰な毛
MP:0000413	polyphalangy	指骨過剰
MP:0000414	alopecia	脱毛症
MP:0000416	sparse hair	低密度な毛
MP:0000417	short hair	毛の短縮
MP:0000418	focal hair loss	斑状の毛
MP:0000419	obsolete rough hair	OBSOLETE
MP:0000420	ruffled hair	ひだ状の毛
MP:0000421	mottled coat	まだらのコート
MP:0000422	delayed hair appearance	発毛遅延
MP:0000423	delayed hair regrowth	毛の再生遅延
MP:0000424	retarded hair growth	毛の生育遅延
MP:0000425	loss of eyelid cilia	睫毛の脱落
MP:0000426	ectopic hair growth	異所的な発毛
MP:0000427	abnormal hair cycle	発毛サイクルの異常
MP:0000428	abnormal craniofacial morphology	頭蓋顔面の形態異常
MP:0000430	absent maxillary shelf	上顎棚の欠如
MP:0000431	absent palatine bone horizontal plate	口蓋骨水平板サイズの欠如
MP:0000432	abnormal head morphology	頭部の形態異常
MP:0000433	microcephaly	小頭症
MP:0000434	megacephaly	巨頭症
MP:0000435	shortened head	頭部の短縮
MP:0000436	abnormal head movements	頭部の動作異常
MP:0000437	taut facial appearance	引っ張られたような顔面
MP:0000438	abnormal cranium morphology	頭蓋の形態異常
MP:0000439	enlarged cranium	頭蓋の巨大化
MP:0000440	domed cranium	ドーム状の頭蓋
MP:0000441	increased cranium width	頭蓋幅の増加
MP:0000443	abnormal snout morphology	鼻の形態異常
MP:0000445	short snout	鼻の短縮
MP:0000446	long snout	鼻の伸長
MP:0000447	flattened snout	平たい鼻
MP:0000448	pointed snout	尖った鼻
MP:0000449	broad nasal bridge	広い鼻梁
MP:0000450	absent snout	鼻の欠如
MP:0000451	scaly muzzle	鱗状の鼻
MP:0000452	abnormal mouth morphology	口の形態異常
MP:0000453	absent mouth	口の欠如
MP:0000454	abnormal jaw morphology	顎の形態異常
MP:0000455	abnormal maxilla morphology	上顎骨の形態異常
MP:0000457	maxilla hypoplasia	上顎骨の形成不全
MP:0000458	abnormal mandible morphology	下顎骨の形態異常
MP:0000459	abnormal presacral vertebrae morphology	仙前椎の異常
MP:0000460	mandible hypoplasia	下顎骨の形成不全
MP:0000461	decreased presacral vertebrae number	仙前椎数の減少
MP:0000462	abnormal digestive system morphology	消化器系の形態異常
MP:0000464	increased presacral vertebrae number	仙前椎数の増加
MP:0000465	gastrointestinal hemorrhage	消化管の出血
MP:0000466	esophageal epithelium hyperplasia	食道上皮肥厚
MP:0000467	abnormal esophagus morphology	食道の形態異常
MP:0000468	abnormal esophageal epithelium morphology	食道上皮の形態異常
MP:0000469	abnormal esophageal squamous epithelium morphology	食道扁平上皮の形態異常
MP:0000470	abnormal stomach morphology	胃の形態異常
MP:0000471	abnormal stomach epithelium morphology	胃上皮の形態異常
MP:0000472	abnormal stomach non-glandular epithelium morphology	胃扁平上皮の形態異常
MP:0000473	abnormal stomach glandular epithelium morphology	胃腺上皮の形態異常
MP:0000474	abnormal foregut morphology	前腸の形態異常
MP:0000476	obsolete thickening of bowel wall	OBSOLETE
MP:0000477	abnormal intestine morphology	腸の形態異常
MP:0000478	delayed intestine development	腸の発生遅延
MP:0000479	abnormal enterocyte morphology	腸細胞の形態異常
MP:0000480	increased rib number	肋骨数の増加
MP:0000481	abnormal enterocyte cell number	腸細胞数の異常
MP:0000482	long fibula	腓骨の伸長
MP:0000483	obsolete Increased intestinal cell number	OBSOLETE
MP:0000484	abnormal pulmonary artery morphology	肺動脈の形態異常
MP:0000485	obsolete Decreased intestinal cell number	OBSOLETE
MP:0000486	abnormal pulmonary trunk morphology	肺動脈幹の形態異常
MP:0000487	absent enterocytes	腸細胞の欠如
MP:0000488	abnormal intestinal epithelium morphology	腸管上皮の形態異常
MP:0000489	abnormal large intestine morphology	大腸の形態異常
MP:0000490	abnormal crypts of Lieberkuhn morphology	リーベルキューン腺の形態異常
MP:0000491	crypts of Lieberkuhn abscesses	リーベルキューン腺の膿瘍
MP:0000492	abnormal rectum morphology	直腸の形態異常
MP:0000493	rectal prolapse	直腸脱
MP:0000494	abnormal cecum morphology	盲腸の形態異常
MP:0000495	abnormal colon morphology	結腸の形態異常
MP:0000496	abnormal small intestine morphology	小腸の形態異常
MP:0000497	abnormal small intestine placement	小腸の配置異常
MP:0000498	absent jejunum	空腸の欠如
MP:0000499	absent ileum	回腸の欠如
MP:0000500	small intestinal prolapse	小腸脱
MP:0000501	abnormal digestive secretion	消化液分泌の異常
MP:0000502	obsolete abnormal digestive mucosecretion	OBSOLETE
MP:0000503	excessive digestive secretion	消化液分泌の過剰
MP:0000504	obsolete excessive digestive mucosecretion	OBSOLETE
MP:0000505	decreased digestive secretion	消化液分泌の減少
MP:0000506	obsolete decreased digestive mucosecretion	OBSOLETE
MP:0000507	absent digestive secretion	消化液分泌の欠如
MP:0000508	right-sided isomerism	右側異性
MP:0000509	obsolete absent digestive mucosecretion	OBSOLETE
MP:0000510	remittent intestinal hemorrhage	弛張性腸出血
MP:0000511	abnormal intestinal mucosa morphology	腸管粘膜の形態異常
MP:0000512	intestinal ulcer	腸潰瘍
MP:0000513	obsolete infiltration of lymphocytes/plasma cells	OBSOLETE
MP:0000516	abnormal renal/urinary system morphology	泌尿器系の形態異常
MP:0000519	hydronephrosis	水腎症
MP:0000520	absent kidney	腎臓の欠如
MP:0000521	abnormal kidney cortex morphology	腎皮質の異常
MP:0000522	kidney cortex cyst	腎皮質の嚢胞
MP:0000523	cortical renal glomerulopathies	腎皮質の糸球体症
MP:0000524	decreased renal tubule number	尿細管数の減少
MP:0000525	renal tubular acidosis	尿細管性アシドーシス
MP:0000526	small inner medullary pyramid	髄質内錐体の矮小化
MP:0000527	abnormal kidney development	腎臓の発生異常
MP:0000528	delayed kidney development	腎臓の発生遅延
MP:0000530	abnormal kidney vasculature morphology	腎臓の脈管構造異常
MP:0000531	right pulmonary isomerism	肺の右側異性
MP:0000532	kidney vascular congestion	腎臓脈管のうっ血
MP:0000533	kidney hemorrhage	腎出血
MP:0000534	abnormal ureter morphology	尿管の形態異常
MP:0000535	ureter urothelium hyperplasia	尿管管腔の肥厚
MP:0000536	hydroureter	水尿管
MP:0000537	abnormal urethra morphology	尿道の形態異常
MP:0000538	abnormal urinary bladder morphology	膀胱の形態異常
MP:0000539	distended urinary bladder	膀胱拡張
MP:0000540	abnormal urinary bladder urothelium morphology	膀胱移行上皮の形態異常
MP:0000541	obsolete abnormal urinary bladder transitional epithelium morphology	OBSOLETE
MP:0000542	left-sided isomerism	左側異性
MP:0000543	absent urinary bladder urothelium	膀胱移行上皮の欠如
MP:0000544	thin urinary bladder urothelium	薄い膀胱移行上皮
MP:0000545	obsolete abnormal limbs/digits/tail morphology	OBSOLETE
MP:0000547	short limbs	四肢の短縮
MP:0000548	long limbs	四肢の伸長
MP:0000549	absent limbs	四肢の欠如
MP:0000550	abnormal forelimb morphology	前肢の形態異常
MP:0000551	absent forelimb	前肢の欠如
MP:0000552	abnormal radius morphology	橈骨の形態異常
MP:0000553	absent radius	橈骨の欠如
MP:0000554	abnormal carpal bone morphology	手根骨の形態異常
MP:0000555	absent carpal bone	手根骨の欠如
MP:0000556	abnormal hindlimb morphology	後肢の形態異常
MP:0000557	absent hindlimb	後肢の欠如
MP:0000558	abnormal tibia morphology	脛骨の形態異常
MP:0000559	abnormal femur morphology	大腿骨の形態異常
MP:0000561	adactyly	無指症
MP:0000562	polydactyly	多指症
MP:0000564	syndactyly	合指症
MP:0000565	oligodactyly	し不足症
MP:0000566	synostosis	骨癒合症
MP:0000567	truncated digits	欠指症
MP:0000568	ectopic digits	異所性の指
MP:0000569	abnormal digit pigmentation	指色素沈着の異常
MP:0000571	interdigital webbing	趾間部の水かき
MP:0000572	abnormal autopod morphology	自由四肢の末端部（自脚）の形態異常
MP:0000573	increased hindlimb autopod size	後脚の巨大化
MP:0000574	abnormal foot pad morphology	足底の形態異常
MP:0000575	increased foot pad pigmentation	濃い色の足底
MP:0000576	clubfoot	弯足
MP:0000577	absent eccrine glands	前足裏のエクリン腺欠如
MP:0000578	ulcerated autopod	自由四肢の末端部（自脚）の潰瘍化
MP:0000579	abnormal nail morphology	爪の形態異常
MP:0000580	deformed nails	奇形の爪
MP:0000581	obsolete ventral nails/ hair	OBSOLETE
MP:0000582	toenail hyperkeratosis	足指の爪の角質増殖
MP:0000583	long toenails	足指の爪伸長
MP:0000585	kinked tail	ねじれた尾
MP:0000588	thick tail	太い尾
MP:0000589	thin tail	細い尾
MP:0000592	short tail	尾の短縮
MP:0000593	obsolete tail band	OBSOLETE
MP:0000596	abnormal liver development	肝臓の発生異常
MP:0000597	delayed hepatic development	肝臓の発生遅延
MP:0000598	abnormal liver morphology	肝臓の形態異常
MP:0000599	enlarged liver	肝臓肥大
MP:0000600	liver hypoplasia	肝臓の形成不全
MP:0000601	small liver	肝臓の萎縮
MP:0000602	dilated liver sinusoidal space	肝臓類洞腔の肥大
MP:0000603	pale liver	蒼白色の肝臓
MP:0000604	amyloidosis	アミロイド症
MP:0000606	decreased hepatocyte number	肝細胞数の減少
MP:0000607	abnormal hepatocyte morphology	肝細胞の形態異常
MP:0000608	dissociated hepatocytes	肝細胞の解離
MP:0000609	abnormal liver physiology	肝臓の生理異常
MP:0000610	cholestasis	胆汁鬱帯
MP:0000611	jaundice	黄疸
MP:0000612	obsolete sclerosis	OBSOLETE
MP:0000613	abnormal salivary gland morphology	唾液腺の形態異常
MP:0000614	absent salivary gland	唾液腺の欠如
MP:0000615	abnormal palatine gland morphology	口蓋腺の形態異常
MP:0000616	decreased ductal branching in the palatine gland	口蓋腺の管の分岐数減少
MP:0000617	increased salivary gland mucosal cell number	唾液腺粘膜の細胞数増加
MP:0000618	small salivary gland	唾液腺の矮小化
MP:0000619	salivary gland epithelial hyperplasia	唾液腺上皮の肥厚
MP:0000620	narrow salivary ducts	細い唾液腺管
MP:0000621	increased salivary adenocarcinoma incidence	唾液腺がん発生率上昇
MP:0000622	increased salivation	唾液分泌量の増加
MP:0000623	decreased salivation	唾液分泌量の減少
MP:0000624	xerostomia	口内乾燥
MP:0000627	abnormal mammary gland morphology	乳腺の形態異常
MP:0000628	abnormal mammary gland development	乳腺の発生異常
MP:0000629	absent mammary gland	乳腺の欠如
